Username,Text,language,retweet_count,Time,location
Circe4women,"When #NazilaMaroufian interviewed #MahsaAmini’s father,she was threatened &amp; asked not to publish it. But she did. She was arrested on Oct 30 &amp; has been unjustly in prison since then. Incredible courage &amp; commitment in telling the truth. Respect!  #مهسا_امینی #نازیلا_معروفیان #Iran https://t.co/MUDXPiUDzw",en,1534,2022-12-31 17:17:02+00:00,
tealover1dragon,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:16:58+00:00,
f_poory,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:16:55+00:00,
Bravewomen,"Dec 31—Sanandaj, W #Iran  Locals are setting up roadblocks with fires and taking control of their streets in solidarity with the city of Javanrud.  #IranRevolution   #جوانرود   https://t.co/D5dz1Zd264",en,2,2022-12-31 17:16:55+00:00,Canada
Zara_Belov,"Dec. 31, during the mourning ceremony for seven previously killed protestors in Javanrood, #Iran, yet another protestor, #BorhanEliasi, 22, was shot and killed.   The world must react to this atrocity and not let this murderous #IR slaughter people easily and make a habit of it! https://t.co/Ikb1Tu5csB",en,0,2022-12-31 17:16:55+00:00,
RodiaRomanovna,Beheshti University graduate Sepideh Ahmadkhani has reportedly been sentenced to 74 lashes and six years in prison in connection with #IranProtests.     She has also been ordered to write an 80-page thesis on “society’s need for security and patriotism.” #سپیده_احمدخانی #Iran https://t.co/mi2ShOr6jk,en,608,2022-12-31 17:16:55+00:00,
alizmarefat,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:16:52+00:00,
Rihanaa_88,"Today in several cities in #Iran, the regime are killing the protesters again. If it is not terrorism so what it is?  People defend their rights, the rights that belong to every person in the world, but instead they are killed.  #IranRevolution   #Mahsa_Amini",en,0,2022-12-31 17:16:51+00:00,
persian__rugs,"Today, December 31, continuing nationwide protests, dozen of people marched in the streets in #Tehran and chanted slogans.   This demonstration reportedly turned violent by police and security forces.    #Iran  #IranProtests https://t.co/SczhaFhxDT",en,24,2022-12-31 17:16:50+00:00,The Diaspora
endless00summer,"Protests continue in #Iran - and the few reports we get despite internet blockade indicate that #IRGC shoots on protestors with live ammunition     This is a grave human rights abuse. The world needs to watch, #JCPOA talks have to stop and #IRGC needs to be on 🇪🇺 sanctions list. https://t.co/I70p7q9Zbh",en,585,2022-12-31 17:16:49+00:00,
